	Foxj3	Hsf1	Hsf2	Rreb1	Srf
Abcg1	0	0	0	0	-0.25
Abtb2	0.25	0	0	0.25	0
Ahsa1	0	-0.25	0	0	0
Alpk2	0	0	0	0.25	0
Amica1	0	-0.25	-0.25	0	0
Asb2	0	0	0	0	-0.25
Atf3	0	-0.25	-0.25	0	-0.25
Basp1	0.25	0	0	0.25	0
Bcl6	0	-0.25	-0.25	0	-0.25
Btg2	0	-0.25	-0.25	0	-0.25
Cd81	0	0	0	0.25	0
Chordc1	0	-0.25	-0.25	0	0
Cish	0.25	0	0	0	0
Cpm	0	-0.25	-0.25	0	-0.25
Cyth1	0.25	0	0	0	0
Dnajb1	0	-0.25	-0.25	0	-0.25
Dos	0	0	0	0.25	0
Egr1	0	0	0	0	-0.25
Egr2	0	0	0	0	-0.25
F5	0.25	0	0	0.25	0
Fam129b	0	0	0	0.25	0
Fkbp4	0	0	0	0	-0.25
Fos	0	-0.25	0	0	-0.25
Hip1	0	-0.25	-0.25	0	0
Hspa1a	0	-0.25	0	0	0
Hspa8	0	-0.25	-0.25	0	0
Hsph1	0	-0.25	-0.25	0	0
Igj	0.25	0	0	0.25	0
Irf1	0	0	0	0	-0.25
Kcnn4	0	0	0	0.25	0
Klf2	0	0	0	0	-0.25
Lats2	0.25	0	0	0	0
Lifr	0	0	0	0	-0.25
Lrp8	0	0	0	0.25	0
Map4k4	0.25	0	0	0	0
Met	0	-0.25	0	0	0
P4ha1	0	-0.25	-0.25	0	-0.25
Pkib	0.25	0	0	0.25	0
Rnf157	0.25	0	0	0.25	0
Sipa1l2	0	0	0	0.25	0
Slc7a8	0.25	0	0	0	0
Spata13	0	0	0	0.25	0
Spred1	0	0	0	0.25	0
Stat4	0.25	0	0	0.25	0
Stip1	0	-0.25	-0.25	0	-0.25
Trim14	0	0	0	0	-0.25
Vdr	0	0	0	0.25	0
Xcr1	0.25	0	0	0.25	0
