	Irf7	Mafk	Prdm1	Rorc	Spi1	Tcf7
2310007l24rik	0	0	0	1.0	0	0
4930550c14rik	0	0	1.0	0	0	0
Abhd2	0	1.0	0	0	0	0
Abi3bp	0	0	0	0	1.0	0
Ablim3	0	1.0	0	0	0	0
Actn2	0	0	0	0	1.0	0
Acyp2	0	1.0	0	0	0	0
Adamts14	0	0	1.0	0	0	0
Ahcyl2	0	0	-1.0	0	0	0
Appl2	0	0	0	1.0	0	0
Arnt2	0	0	1.0	0	0	0
Arrdc4	0	0	1.0	0	0	0
Asns	0	0	0	1.0	1.0	0
Bach2	0	0	0	-1.0	0	0
Batf3	0	0	0	0	1.0	0
Cadm1	0	1.0	0	0	0	0
Camk2d	0	0	-1.0	0	0	0
Cd244	0	0	0	0	1.0	0
Cd6	-1.0	0	0	0	0	0
Cd93	0	1.0	1.0	0	0	0
Cdh2	0	0	-1.0	0	0	0
Cep63	0	0	0	-1.0	0	0
Clcn3	0	1.0	1.0	1.0	1.0	0
Clnk	0	0	1.0	0	1.0	0
Cntn1	0	0	-1.0	0	0	0
Cobll1	0	0	-1.0	0	0	0
Cog5	-1.0	0	0	-1.0	0	0
Cpe	0	0	0	1.0	0	0
Csgalnact1	0	0	-1.0	0	0	0
Ctsh	0	0	1.0	0	1.0	1.0
Cwf19l2	0	0	-1.0	0	0	0
Cx3cl1	0	0	0	0	1.0	0
Cyp51	0	0	0	-1.0	0	0
Deptor	0	0	-1.0	0	0	0
Dgkd	0	0	1.0	0	0	0
Dhrs3	0	1.0	1.0	0	0	0
Dhx37	0	1.0	0	0	0	0
Dlc1	0	1.0	0	1.0	0	1.0
Dmrt3	0	0	0	0	1.0	0
Dnajb2	0	0	1.0	0	0	0
Dnajc6	0	0	0	0	1.0	0
Dscaml1	0	1.0	0	0	1.0	0
Dtx4	0	0	1.0	0	0	0
Dusp4	0	1.0	0	0	1.0	0
Eps8	0	1.0	0	0	1.0	0
F2r	0	0	0	0	0	1.0
Fam155a	0	0	0	1.0	1.0	1.0
Fam184b	0	0	1.0	0	0	0
Fam46c	0	0	0	1.0	0	0
Fam49a	0	1.0	0	0	0	0
Flnb	0	0	0	0	1.0	0
Flrt2	0	0	-1.0	-1.0	0	0
Fmnl2	0	1.0	1.0	0	1.0	0
Fnbp1l	0	1.0	1.0	0	0	0
Foxs1	0	0	1.0	0	1.0	0
Frmd4b	-1.0	0	0	0	0	0
Gcnt2	0	0	0	0	1.0	0
Gcnt4	0	0	-1.0	0	0	0
Gpr157	0	1.0	0	0	0	0
Gria3	0	1.0	0	0	0	1.0
Hbegf	0	1.0	1.0	0	1.0	0
Hdac9	0	1.0	0	1.0	1.0	0
Hormad2	-1.0	0	0	0	0	0
Idi2	0	0	1.0	0	0	0
Igf1r	0	1.0	0	0	1.0	0
Ikbkb	-1.0	0	0	0	0	0
Il17re	0	0	0	1.0	0	0
Il1r1	0	1.0	1.0	1.0	1.0	1.0
Il22	0	1.0	0	0	0	1.0
Il23r	0	1.0	1.0	1.0	1.0	0
Kcnk1	0	0	1.0	0	0	0
Klrb1f	0	0	1.0	0	0	0
Lrrc8b	0	0	0	0	1.0	0
Lrrk2	0	1.0	1.0	0	0	0
Lysmd4	0	0	0	-1.0	0	0
Man1c1	0	0	1.0	0	0	0
Mdfic	0	0	-1.0	0	0	0
Med12l	0	0	0	-1.0	0	0
Meis1	0	0	1.0	0	0	1.0
Mfsd6	0	0	0	1.0	0	0
Mllt3	0	0	0	-1.0	0	0
Mpeg1	0	0	1.0	0	0	0
Mpzl1	0	1.0	0	0	1.0	0
Myof	0	0	0	0	1.0	0
Ncald	0	0	0	1.0	1.0	0
Nck2	0	0	-1.0	0	0	0
Ncoa7	0	1.0	1.0	1.0	1.0	0
Neb	-1.0	0	0	0	0	0
Nfkbia	0	0	0	-1.0	0	0
Nsl1	0	1.0	0	0	0	0
Odc1	0	0	1.0	0	0	0
Parvb	0	0	1.0	0	0	0
Pde5a	0	0	1.0	1.0	0	0
Pde7b	0	0	-1.0	-1.0	0	0
Pi4k2a	0	1.0	1.0	0	1.0	0
Piwil4	-1.0	0	-1.0	0	0	0
Pla1a	0	0	0	0	1.0	0
Plekhg1	0	1.0	1.0	0	1.0	1.0
Plxdc2	0	0	-1.0	0	0	0
Prelid2	0	0	1.0	1.0	1.0	0
Prickle1	0	0	0	0	0	1.0
Ptprm	0	1.0	1.0	1.0	1.0	0
Rbm20	0	0	0	-1.0	0	0
Rbpms2	0	0	0	1.0	0	0
Rhobtb1	0	1.0	1.0	0	0	0
Rnf150	0	1.0	0	1.0	0	0
Rorc	0	1.0	0	0	1.0	0
Sept7	0	0	-1.0	0	0	0
Serpinb1a	0	1.0	1.0	0	0	0
Serpine2	0	0	0	1.0	0	0
Sestd1	0	0	1.0	0	0	0
Setd7	0	0	0	0	1.0	0
Sh3pxd2b	0	1.0	0	0	0	0
Slc15a3	0	1.0	0	0	1.0	0
Slc22a15	0	0	0	1.0	0	0
Slc23a2	0	1.0	0	0	0	1.0
Slc25a24	0	0	0	1.0	1.0	0
Slc41a3	0	0	0	0	1.0	0
Slc6a7	0	0	0	1.0	0	1.0
Smyd2	0	1.0	0	0	0	1.0
Sntb1	0	0	0	0	0	1.0
Snx13	0	0	0	-1.0	0	0
Srgap1	0	1.0	0	1.0	1.0	0
Ssx2ip	0	1.0	0	0	0	0
Stab1	0	1.0	0	0	0	0
Stom	0	1.0	0	0	0	0
Syne1	0	0	0	-1.0	0	0
Tifa	0	0	0	1.0	0	0
Tmem194b	0	0	1.0	1.0	0	0
Tns3	0	1.0	1.0	0	0	0
Trps1	0	0	-1.0	-1.0	0	0
Upp1	0	0	0	0	1.0	1.0
Usp3	-1.0	0	-1.0	0	0	0
Vps37c	0	0	1.0	0	0	0
Xkrx	0	0	0	1.0	1.0	1.0
Zbtb20	-1.0	0	0	0	0	0
Zfp1	0	0	-1.0	0	0	0
Zfp92	0	0	0	-1.0	0	0
Zmat4	0	0	0	0	1.0	0
